MLS_NUMBER,OPEN_STATUS,LISTING_Date,LISTING_PRICE,LOCATION,SOLD_PRICE,URL,DAYS_ON_MARKET,LATITUDE,LONGTIDUE,ACRES,PRICE_PER_ARC
null,For Sale,2023-08-30,"$589,000","4 beds • 2 baths • 3,360 sq ftForsyth, MT 59327 - Rosebud County",589000,https://www.land.com/property/168-acres-in-Rosebud-County-Montana/15511053/,5,45.99838,-106.31092,168,3506
null,For Sale,2023-08-31,"$441,000","Houghton Creek Road, Libby, MT 59923 - Lincoln County",441000,https://www.land.com/property/84-acres-in-Lincoln-County-Montana/18120456/,4,48.02176,-115.327625,84,5250
null,For Sale,2023-08-13,"$999,000","12885 E 15000 N Deep Creek, Lapoint, UT 84039 - Uintah County",999000,https://www.land.com/property/574.7-acres-in-Uintah-County-Utah/16675088/,22,40.5158,-109.7613,574.7,1738
null,For Sale,2023-08-28,"$2,750,000","Little Fork Rd., Buffalo, WY 82834 - Johnson County",2750000,https://www.land.com/property/640-acres-in-Johnson-County-Wyoming/12584774/,7,44.4878,-106.8604,640,4297
null,For Sale,2023-08-31,"$4,900,000","Livingston, MT 59047 - Park County",4900000,https://www.land.com/property/593.4-acres-in-Park-County-Montana/18094108/,4,45.8117,-110.512,593.4,8257
 30008933,For Sale,2023-08-25,"$450,000","17909 Wolf Creek Lane, Bigfork, MT 59911 - Lake County",450000,https://www.land.com/property/17909-Wolf-Creek-Lane-Bigfork-Montana-59911/17520637/,10,47.95137,-114.030485,4.24,106132
null,For Sale,2023-08-03,"$8,000,000","S. Fork Lodgepole Road, Sand Springs, MT 59077 - Garfield County",8000000,https://www.land.com/property/9296.28-acres-in-Garfield-County-Montana/12443347/,32,47.1595202122,-107.718230815,9,888889
null,For Sale,2023-06-28,"$625,000","3 beds • 1 bath • 1,355 sq ft6925 Little Wolf Creek Road, Lot#WP001, Wolf Creek, MT 59648 - Lewis and Clark County",625000,https://www.land.com/property/11.5-acres-in-Lewis-and-Clark-County-Montana/17359185/,68,47.068,-112.24,11.5,54348
null,For Sale,2023-09-01,"$2,100,000","Meeker, CO 81641 - Rio Blanco County",2100000,https://www.land.com/property/15000-acres-in-Rio-Blanco-County-Colorado/9363650/,3,39.92,-107.67,15,140000
null,For Sale,2023-08-28,"$1,250,000","4 beds • 4 baths • 1 half bath • 4,494 sq ft22 Falling Star Trl, Park City, MT 59063 - Stillwater County",1250000,https://www.land.com/property/22-Falling-Star-Trl-Park-City-Montana-59063/16797564/,7,45.6881,-108.913145,145.89,8568
null,For Sale,2023-09-01,"$8,250,000","Bozeman, MT 59715 - Gallatin County",8250000,https://www.land.com/property/253.44-acres-in-Gallatin-County-Montana/18128210/,3,45.577,-111.13,253.44,32552
 1894332,For Sale,2023-08-14,"$699,000","2 beds • 1 bath • 1,450 sq ft29900 N Drycreek Stock Rd 138, Fairview, UT 84629 - Sanpete County",699000,https://www.land.com/property/40-acres-in-Sanpete-County-Utah/17948807/,21,39.68872,-111.38175,40,17475
null,For Sale,2023-08-24,"$2,691,000","TBD County Road 7, Craig, CO 81625 - Moffat County",2691000,https://www.land.com/property/2990-acres-in-Moffat-County-Colorado/18052645/,11,40.8752771154,-107.990252088,2,1345500
null,For Sale,2023-07-25,"$3,250,000","2,800 sq ftLivingston, MT 59047 - Park County",3250000,https://www.land.com/property/38.89-acres-in-Park-County-Montana/17642747/,41,45.7686,-110.4953,38.89,83569
null,Under Contract,2023-08-17,"$299,000","TBD Friend Spring Road, Lot#WP001, Whitehall, MT 59759 - Jefferson County",299000,https://www.land.com/property/TBD-Friend-Spring-Road-LotNumber-WP001-Whitehall-Montana-59759/17359200/,18,45.8591,-112.3315,20,14950
null,For Sale,2023-08-31,"$639,000","3 beds • 3 baths3377 Bobtail Road, Libby, MT 59923 - Lincoln County",639000,https://www.land.com/property/3377-Bobtail-Road-Libby-Montana-59923/18113139/,4,48.4671313,-115.5809597,2.08,307212
null,For Sale,2023-08-10,"$2,775,000","2 beds • 1 bath64 Golden Willow Road, Lander, WY 82520 - Fremont County",2775000,https://www.land.com/property/64-Golden-Willow-Road-Lander-Wyoming-82520/17136708/,25,42.850447,-108.7622,14.79,187627
null,For Sale,2023-08-02,"$725,000","2 beds • 2 baths • 1,198 sq ft3292 Mountain Meadows Road, Helena, MT 59602 - Lewis and Clark County",725000,https://www.land.com/property/20.2-acres-in-Lewis-and-Clark-County-Montana/17827463/,33,46.747,-111.922,20.2,35891
null,For Sale,2023-09-01,"$415,000","4 beds342 E Concord Drive, Fruita, CO 81521 - Mesa County",415000,https://www.land.com/property/342-E-Concord-Drive-Fruita-Colorado-81521/18097793/,3,39.1502848,-108.7302581,0.37,1121622
null,For Sale,2023-08-28,"$4,500,000","Pilot Valley Road, Montello, NV 89830 - Elko County",4500000,https://www.land.com/property/909.65-acres-in-Elko-County-Nevada/11654865/,7,41.08799,-114.12653,909.65,4947
null,For Sale,2023-08-31,"$1,775,000","4 beds • 2 baths1774 S Exeter Rd, Council, ID 83612 - Adams County",1775000,https://www.land.com/property/285.12-acres-in-Adams-County-Idaho/18121261/,4,44.698354051,-116.41673378,285.12,6225
null,For Sale,2023-08-30,"$1,400,000","4 beds • 2 baths6567 County Road 180, Evanston, WY 82930 - Uinta County",1400000,https://www.land.com/property/6567-County-Road-180-Evanston-Wyoming-82930/18109919/,5,41.2870467698,-110.74705767,39.01,35888
null,For Sale,2023-08-29,"$850,000","1 bed • 1 bath • 990 sq ft675 Angel Point Rd., Lakeside, MT 59922 - Flathead County",850000,https://www.land.com/property/675-Angel-Point-Rd.-Lakeside-Montana-59922/18095062/,6,47.990569,-114.179995,1.04,817308
null,For Sale,2023-09-01,"$574,900","TBD NE 40 AC Yellow Jacket Rd, North Fork, ID 83466 - Lemhi County",574900,https://www.land.com/property/40-acres-in-Lemhi-County-Idaho/18135326/,3,44.9902622,-114.4899142,40,14373
null,For Sale,2023-08-30,"$1,170,000","Casper, WY 82601 - Natrona County",1170000,https://www.land.com/property/975-acres-in-Natrona-County-Wyoming/17349034/,5,43.08623,-107.109575,975,1200
null,For Sale,2023-08-30,"$350,000","TBD Pipe Organ Road, Dillon, MT 59725 - Beaverhead County",350000,https://www.land.com/property/39.93-acres-in-Beaverhead-County-Montana/18101091/,5,45.0592631,-112.816785,39.93,8765
null,For Sale,2023-08-03,"$2,850,000","8 beds • 7 baths25 Saddle Hill Lane, Lander, WY 82520 - Fremont County",2850000,https://www.land.com/property/25-Saddle-Hill-Lane-Lander-Wyoming-82520/15034558/,32,42.8079947644,-108.731179977,10,285000
null,For Sale,2023-08-25,"$1,750,000","134 Little Dry Creek RD, Cohagen, MT 59322 - Garfield County",1750000,https://www.land.com/property/1245-acres-in-Garfield-County-Montana/15167686/,10,47.0937061498,-106.54473328,1,1750000
null,For Sale,2023-08-03,"$4,850,000","6 beds • 8 baths859 Hamilton Heights Rd, Corvallis, MT 59828 - Ravalli County",4850000,https://www.land.com/property/859-Hamilton-Heights-Rd-Corvallis-Montana-59828/14266050/,32,46.2949888054,-114.044668749,36,134722
null,For Sale,2023-09-01,"$525,000","TBD River Lane Road, Lot#WP001, Mount Pleasant, UT 84647 - Sanpete County",525000,https://www.land.com/property/TBD-River-Lane-Road-LotNumber-WP001-Mount-Pleasant-Utah-84647/17620866/,3,39.36621,-111.695259,120,4375
null,For Sale,2023-08-30,"$5,000,000","3 beds • 3 baths • 2,574 sq ft1515 Burris Lenore Rd, Kinnear, WY 82516 - Fremont County",5000000,https://www.land.com/property/965-acres-in-Fremont-County-Wyoming/18081844/,5,,,965,5181
null,For Sale,2023-08-03,"$4,900,000","TBD Strawberry River Road, Duchesne, UT 84021 - Duchesne County",4900000,https://www.land.com/property/1073-acres-in-Duchesne-County-Utah/16435364/,32,40.1285755104,-110.719193981,1,4900000
null,For Sale,2023-08-24,"$17,900,000","Corvallis, MT 59828 - Ravalli County",17900000,https://www.land.com/property/4666.87-acres-in-Ravalli-County-Montana/18046352/,11,46.3957,-113.9579,4,4475000
null,For Sale,2023-08-25,"$2,733,600","41222 Larb Hills Rd, Malta, MT 59538 - Phillips County",2733600,https://www.land.com/property/6628-acres-in-Phillips-County-Montana/17170419/,10,47.8605820298,-107.584780624,6,455600
 10021320,For Sale,2023-08-30,"$437,500","Road 6Ns, Cody, WY 82414 - Park County",437500,https://www.land.com/property/Road-6Ns-Cody-Wyoming-82414/18106929/,5,44.41362,-109.286005,21.46,20387
 21-3271,For Sale,2023-08-29,"$2,500,000","3 beds • 2 baths • 3,404 sq ft807 Merna North Beaver 23-115, Daniel, WY 83115 - Sublette County",2500000,https://www.land.com/property/807-Merna-North-Beaver-23115-Daniel-Wyoming-83115/12248096/,6,43.030975,-110.38936,26.89,92971
 335679,For Sale,2023-05-01,"$4,985,000","4 beds • 4 baths • 2,864 sq ftTBD Marsh Road, Worden, MT 59006 - Yellowstone County",4985000,https://www.land.com/property/3862-acres-in-Yellowstone-County-Montana/15656450/,126,46.227245,-108.202275,3,1661667
 10021335,For Sale,2023-08-25,"$750,000","3 beds • 2 baths • 2,252 sq ft25 Sunset Rim, Cody, WY 82414 - Park County",750000,https://www.land.com/property/25-Sunset-Rim-Cody-Wyoming-82414/18064387/,10,44.50789,-108.9653,2,375000
 10020139,For Sale,2023-07-17,"$1,150,000","3 beds • 2 baths • 1 half bath • 3,231 sq ft138 Southfork Road, Cody, WY 82414 - Park County",1150000,https://www.land.com/property/138-Southfork-Road-Cody-Wyoming-82414/17604867/,49,44.49809,-109.100345,2.97,387205
null,For Sale,2023-08-22,"$1,750,000","South Skyline Drive, Lot 3WP001, Mount Pleasant, UT 84647 - Sanpete County",1750000,https://www.land.com/property/1190.32-acres-in-Sanpete-County-Utah/14413406/,13,39.482917811562,-111.35181742326,1,1750000
null,For Sale,2023-07-31,"$550,000","1 bed • 1 bath • 1,176 sq ft4395 Denton Bulch Road, Lot#WP001, Wolf Creek, MT 59648 - Lewis and Clark County",550000,https://www.land.com/property/4395-Denton-Bulch-Road-LotNumber-WP001-Wolf-Creek-Montana-59648/15041864/,35,47.069,-112.263,31.21,17623
null,For Sale,2023-08-30,"$1,750,000","S Ash Creek Rd, Ranchester, WY 82839 - Sheridan County",1750000,https://www.land.com/property/640-acres-in-Sheridan-County-Wyoming/16615588/,5,44.959335,-107.061,640,2734
 10019168,For Sale,2023-08-02,"$4,395,000","5 beds • 5 baths • 1 half bath • 7,670 sq ft249 Lower Southfork Road, Cody, WY 82414 - Park County",4395000,https://www.land.com/property/249-Lower-Southfork-Road-Cody-Wyoming-82414/14828048/,33,44.43554,-109.24586,97.9,44893
null,For Sale,2023-08-03,"$950,000","3 beds • 2 baths32 Robin Road, Lander, WY 82520 - Fremont County",950000,https://www.land.com/property/32-Robin-Road-Lander-Wyoming-82520/17155834/,32,42.7644547736,-108.794723651,3.21,295950
null,For Sale,2023-08-26,"$754,000","TBD County Road 23, Maybell, CO 81640 - Moffat County",754000,https://www.land.com/property/377-acres-in-Moffat-County-Colorado/17589930/,9,40.3238125,-108.1406875,377,2000
 10020098,For Sale,2023-07-17,"$1,049,500","3 beds • 2 baths • 1 half bath • 2,946 sq ft38 Ptarmigan Drive, Cody, WY 82414 - Park County",1049500,https://www.land.com/property/38-Ptarmigan-Drive-Cody-Wyoming-82414/17256787/,49,44.46803,-109.49705,2,524750
null,For Sale,2023-08-03,"$885,000","437 County Road 321, Rifle, CO 81650 - Garfield County",885000,https://www.land.com/property/129-acres-in-Garfield-County-Colorado/17334101/,32,39.515712507,-107.829075812,129,6860
null,For Sale,2023-07-17,"$1,099,000","1 bed • 1 bath2050 Patrick Creek Road, Lot#WP001, Kalispell, MT 59901 - Flathead County",1099000,https://www.land.com/property/40-acres-in-Flathead-County-Montana/16184639/,49,48.0684,-114.3332,40,27475
null,Under Contract,2023-08-21,"$549,000","TWP 32N RGE 55E MDB&M, Spring Creek, NV 89815 - Elko County",549000,https://www.land.com/property/2560-acres-in-Elko-County-Nevada/17627697/,14,40.792384,-115.818499,2,274500
 98877774,For Sale,2023-08-16,"$6,485,000","TBD Banks Lowman Highway, Garden Valley, ID 83622 - Boise County",6485000,https://www.land.com/property/TBD-Banks-Lowman-Highway-Garden-Valley-Idaho-83622/17142964/,19,44.08537,-115.93314,711,9121
null,For Sale,2023-08-25,"$2,500,000","16372 Highway 13 S, Hamilton, CO 81638 - Moffat County",2500000,https://www.land.com/property/763-acres-in-Moffat-County-Colorado/18067386/,10,40.3552361066,-107.620675968,763,3277
null,For Sale,2023-08-03,"$325,000","TBD Consumers Rd, Helper, UT 84526 - Carbon County",325000,https://www.land.com/property/211.3-acres-in-Carbon-County-Utah/16968908/,32,39.6558108641,-110.948368766,211.3,1538
null,For Sale,2023-07-18,"$3,900,000","Spring Creek, NV 89815 - Elko County",3900000,https://www.land.com/property/3197.54-acres-in-Elko-County-Nevada/15707909/,48,40.687,-115.545,3,1300000
null,For Sale,2023-08-07,"$1,500,000","Natrona, WY 82646 - Natrona County",1500000,https://www.land.com/property/1080-acres-in-Natrona-County-Wyoming/17878496/,28,43.3812,-107.297285,1,1500000
null,For Sale,2023-08-31,"$875,000","Meadow Road, Lot#WP001, Mount Pleasant, UT 84647 - Sanpete County",875000,https://www.land.com/property/Meadow-Road-LotNumber-WP001-Mount-Pleasant-Utah-84647/17487244/,4,39.4708022,-111.4227592,8.93,97984
null,For Sale,2023-08-14,"$1,200,000","3 Gattung Lane, Lot#WP001, Salmon, ID 83467 - Lemhi County",1200000,https://www.land.com/property/23.07-acres-in-Lemhi-County-Idaho/17707085/,21,45.0806,-113.9075,23.07,52016
 98877775,For Sale,2023-08-16,"$4,899,000","Banks Lowman Highway, Garden Valley, ID 83622 - Boise County",4899000,https://www.land.com/property/640-acres-in-Boise-County-Idaho/17143691/,19,44.085385,-115.92825,640,7655
null,For Sale,2023-08-30,"$285,000","Ryegate, MT 59074 - Golden Valley County",285000,https://www.land.com/property/178-acres-in-Golden-Valley-County-Montana/18102287/,5,46.18405,-109.364805,178,1601
null,For Sale,2023-08-03,"$575,000","00 Ramshorn Ranch Rd, Dubois, WY 82513 - Fremont County",575000,https://www.land.com/property/00-Ramshorn-Ranch-Rd-Dubois-Wyoming-82513/14128828/,32,43.6577223384,-109.777232463,41.71,13786
null,For Sale,2023-06-14,"$499,000","0 Ridge Road NE, Townsend, MT 59644 - Broadwater County",499000,https://www.land.com/property/163.34-acres-in-Broadwater-County-Montana/17263042/,82,46.279902,-111.29221,163.34,3055
null,For Sale,2023-08-08,"$2,650,000","TBD Highway 13, Hamilton, CO 81638 - Moffat County",2650000,https://www.land.com/property/1314-acres-in-Moffat-County-Colorado/16675086/,27,40.3893125,-107.6221875,1,2650000
null,For Sale,2023-07-14,"$20,000,000","3 beds • 2 baths • 2,700 sq ftBirney, MT 59012 - Rosebud County",20000000,https://www.land.com/property/3696-acres-in-Rosebud-County-Montana/17576852/,52,45.1841,-106.659,3,6666667
null,For Sale,2023-08-03,"$429,000","3 beds • 2 baths31 Overland Trl, Reed Point, MT 59069 - Sweet Grass County",429000,https://www.land.com/property/31-Overland-Trl-Reed-Point-Montana-59069/14033508/,32,45.7031358209,-109.588191531,5,85800
 379815,For Sale,2023-08-14,"$3,950,000","4 beds • 3 baths • 3 half baths • 4,385 sq ft388 Old Clyde Park Road, Livingston, MT 59047 - Park County",3950000,https://www.land.com/property/12-acres-in-Park-County-Montana/16516446/,21,45.71513,-110.48968,12,329167
null,For Sale,2023-08-23,"$792,000","Plains, MT 59859 - Sanders County",792000,https://www.land.com/property/120-acres-in-Sanders-County-Montana/18039772/,12,47.53654,-114.90089,120,6600
null,Under Contract,2023-07-27,"$1,685,000","2 beds • 2 baths • 3,147 sq ft9075 Flyn FR8 Drive, Lot#WP001, Helena, MT 59602 - Lewis and Clark County",1685000,https://www.land.com/property/9075-Flyn-FR8-Drive-LotNumber-WP001-Helena-Montana-59602/16954306/,39,46.759,-112.039,36,46806
null,For Sale,2023-07-12,"$325,000","Arminto, WY 82630 - Natrona County",325000,https://www.land.com/property/160-acres-in-Natrona-County-Wyoming/15514160/,54,43.3835,-107.211,160,2031
null,For Sale,2023-08-01,"$12,500,000","6 beds • 3 baths • 4,080 sq ft566 Tullock Lane, Grass Range, MT 59471 - Fergus County",12500000,https://www.land.com/property/6824-acres-in-Fergus-County-Montana/17796559/,34,47.27106,-108.7938,6,2083333
null,For Sale,2023-08-03,"$5,690,000","2 beds • 3 baths761 Stephens Hill Rd, Reed Point, MT 59069 - Sweet Grass County",5690000,https://www.land.com/property/761-Stephens-Hill-Rd-Reed-Point-Montana-59069/17334110/,32,45.8948757758,-109.573628706,1,5690000
 98888455,For Sale,2023-09-01,"$669,500","3 beds • 3 baths • 2,400 sq ft381 Dewey Saddle Rd, Grangeville, ID 83530 - Idaho County",669500,https://www.land.com/property/381-Dewey-Saddle-Rd-Grangeville-Idaho-83530/18132442/,3,45.9753413,-115.9969098,10,66950
null,For Sale,2023-08-01,"$799,000","535 Ulm Rd, Wyarno, WY 82845 - Sheridan County",799000,https://www.land.com/property/162.5-acres-in-Sheridan-County-Wyoming/15426620/,34,44.75383,-106.68488,162.5,4917
 1888507,For Sale,2023-07-13,"$290,000","12835 George Marett Dr S, Duchesne, UT 84021 - Duchesne County",290000,https://www.land.com/property/12835-George-Marett-Dr-S-Duchesne-Utah-84021/17562150/,53,40.114387,-110.358623,2.51,115538
null,For Sale,2023-07-18,"$425,000","3 beds • 2 baths • 1,762 sq ft117 Buckhorn Flats Road, Riverton, WY 82501 - Fremont County",425000,https://www.land.com/property/117-Buckhorn-Flats-Road-Riverton-Wyoming-82501/17206845/,48,43.11457,-108.541685,21.43,19832
