MLS_NUMBER,OPEN_STATUS,LISTING_Date,LISTING_PRICE,LOCATION,SOLD_PRICE,URL,DAYS_ON_MARKET,LATITUDE,LONGTIDUE,ACRES,PRICE_PER_ARC
null,For Sale,2023-08-14,"$14,500,000","Twin Bridges, MT 59754 - Madison County",14500000,https://www.land.com/property/2211-acres-in-Madison-County-Montana/17843303/,21,,,2,7250000
null,For Sale,2023-08-24,"$1,144,000","Thompson Falls, MT 59873 - Sanders County",1144000,https://www.land.com/property/40-acres-in-Sanders-County-Montana/18040677/,11,48.00856,-115.01896,40,28600
null,For Sale,2023-06-17,"$1,250,000","Highway 30, Hagerman, ID 83332 - Gooding County",1250000,https://www.land.com/property/14-acres-in-Gooding-County-Idaho/16479617/,79,42.766,-114.885,14,89286
null,For Sale,2023-07-14,"$9,500,895","2 beds • 1 bath • 1,404 sq ft1002 John Day Rd, Lucile, ID 83542 - Idaho County",9500895,https://www.land.com/property/4223-acres-in-Idaho-County-Idaho/17215663/,52,45.573271,-116.231196,4,2375224
 Missouri River,For Sale,2023-04-01,"$298,850","Highwood, MT 59450 - Chouteau County",298850,https://www.land.com/property/Highwood-Montana-59450/16615577/,156,47.758835,-110.8362,10.8,27671
 2137370,For Sale,2022-03-18,"$1,500,000","TBD Harris Dugway, Idaho Falls, ID 83401 - Bonneville County",1500000,https://www.land.com/property/590.99-acres-in-Bonneville-County-Idaho/11289604/,535,43.48927,-111.681355,590.99,2538
null,For Sale,2023-08-03,"$2,599,000","TBD, Billings, MT 59101 - Yellowstone County",2599000,https://www.land.com/property/459-acres-in-Yellowstone-County-Montana/17283381/,32,45.6955677669,-108.505115365,459,5662
null,For Sale,2023-08-01,"$6,750,000","1920 Power Plant Ferry Road, Zortman, MT 59546 - Phillips County",6750000,https://www.land.com/property/60069-acres-in-Phillips-County-Montana/14645866/,34,47.816295,-108.67585,60,112500
null,For Sale,2023-05-18,"$850,000","3 beds • 2 baths • 1,300 sq ft525 40th Avenue South, Great Falls, MT 59405 - Cascade County",850000,https://www.land.com/property/10-acres-in-Cascade-County-Montana/17085198/,109,47.4663931,-111.2971139,10,85000
null,Under Contract,2023-08-17,"$905,000","3 beds • 2 baths56818 E Hwy 30, Kemmerer, WY 83101 - Lincoln County",905000,https://www.land.com/property/56818-E-Hwy-30-Kemmerer-Wyoming-83101/17394622/,18,41.792447,-110.5376692,107,8458
null,Under Contract,2023-08-15,"$1,350,000","3 beds • 3 baths • 2,080 sq ft311 Derricott Lane, Lot#WP001, Montpelier, ID 83254 - Bear Lake County",1350000,https://www.land.com/property/311-Derricott-Lane-LotNumber-WP001-Montpelier-Idaho-83254/17273758/,20,42.3355,-111.4862,123,10976
 South Boulder River,For Sale,2023-06-05,"$275,000","Mammoth, MT 59721 - Madison County",275000,https://www.land.com/property/2.19-acres-in-Madison-County-Montana/17206846/,91,45.61157,-112.049705,2.19,125571
 10016076,For Sale,2023-05-10,"$4,750,000","3 beds • 2 baths • 2 half baths • 4,302 sq ft1531 Gulch Street, Cody, WY 82414 - Park County",4750000,https://www.land.com/property/1531-Gulch-Street-Cody-Wyoming-82414/9062035/,117,44.520135,-109.085445,3.39,1401180
null,For Sale,2023-08-19,"$606,000","Plains, MT 59859 - Sanders County",606000,https://www.land.com/property/101-acres-in-Sanders-County-Montana/16955527/,16,47.415225,-114.891695,101,6000
null,For Sale,2023-07-10,"$380,000","Tucker Creek Road, Lot#WP005, Divide, MT 59727 - Silver Bow County",380000,https://www.land.com/property/57.04-acres-in-Silver-Bow-County-Montana/16545876/,56,45.795056,-112.714013,57.04,6662
null,For Sale,2023-08-23,"$675,000","2 beds • 2 baths • 1,600 sq ft3656 Woodridge Trail, Lot#WP001, Helena, MT 59602 - Lewis and Clark County",675000,https://www.land.com/property/3656-Woodridge-Trail-LotNumber-WP001-Helena-Montana-59602/17528938/,12,46.6337,-111.661,5,135000
null,For Sale,2023-05-01,"$11,950,000","Kemmerer, WY 83101 - Lincoln County",11950000,https://www.land.com/property/200000-acres-in-Lincoln-County-Wyoming/16822758/,126,42.081278,-110.260008,200,59750
null,For Sale,2023-08-31,"$749,999","2 beds • 1 bath • 925 sq ft298 Ole Depot Rd., Gallatin Gateway, MT 59730 - Gallatin County",749999,https://www.land.com/property/298-Ole-Depot-Rd.-Gallatin-Gateway-Montana-59730/18115826/,4,45.597433,-111.199509,1,749999
